"Lp","Id","Nazwa instytucji","Data utworzenia / data wpisu do ewiencji uczelni niepublicznych","Organ nadzorujący","Rodzaj instytucji","Państwowy Instytut Badawczy","Rok od kiedy Państwowy Instytut Badawczy","Data postawienia w stan likwidacji","Data likwidacji","Typ uczelni","Typ instytucji naukowej","REGON","NIP","KRS","Numer uczelni nadany przez ministra","Numer wpisu do ewidencji uczelni niepublicznych","Numer rejestru instytutów PAN","Strona www","Adres e-mail","Telefon","Adres skrzynki podawczej","Kraj","Województwo","Adres - ulica","Adres - numer","Adres - kod pocztowy","Adres - miasto","Dane osoby kierującej podmiotem","Identyfikator osoby kierującej podmiotem","Skład federacji - Nazwa instytucji","Skład federacji - Identyfikator instytucji","Skład federacji - W federacji od","Skład federacji - W federacji do","Nazwy - Nazwa","Nazwy - Data nadania nazwy","Instytucje poprzedzające - Nazwa instytucji","Instytucje poprzedzające - ID instytucji","Instytucje poprzedzające - REGON","Instytucje poprzedzające - NIP","Instytucje poprzedzające - KRS","Instytucje poprzedzające - Numer w rejestrze PAN","Instytucje poprzedzające - Numer w ewidencji uczelni niepublicznych","Instytucje poprzedzające - Organ nadzorujący","Instytucje poprzedzające - Rodzaj przekształcenia","Instytucje poprzedzające - Data przekształcenia","Instytucje dziedziczące - Nazwa instytucji","Instytucje dziedziczące - ID instytucji","Instytucje dziedziczące - REGON","Instytucje dziedziczące - NIP","Instytucje dziedziczące - KRS","Instytucje dziedziczące - Numer w rejestrze PAN","Instytucje dziedziczące - Numer w ewidencji uczelni niepublicznych","Instytucje dziedziczące - Organ nadzorujący","Instytucje dziedziczące - Rodzaj przekształcenia","Instytucje dziedziczące - Data przekształcenia","Historia zmian organu - Organ nadzorujący","Historia zmian organu - Data przypisania do organu","Historia zmian statusu - Status","Historia zmian statusu - Data nadania statusu","Historia zmian typu - Typ","Historia zmian typu - Data nadania typu","Historia zmian adresu - Adres","Historia zmian adresu - Data otrzymania adresu"
"742","1fe5fa7e-664f-448f-95c1-a19cc6a7664a","Muzeum i Instytut Zoologii Polskiej Akademii Nauk","1819-01-01","Polska Akademia Nauk","Instytucja naukowa","Nie","","","","","instytut naukowy PAN","016912059","5250008689","","","","","http://www.miiz.waw.pl","sekretariat@miiz.waw.pl","22 629 32 21","/MIIZPAN/SkrytkaESP","Polska","mazowieckie","Wilcza","64","00-679","Warszawa","Tomasz Dariusz Mazgajski - Dyrektor instytutu PAN","",,,,,"Muzeum i Instytut Zoologii Polskiej Akademii Nauk","1819-01-01",,,,,,,,,,,,,,,,,,,,,"Polska Akademia Nauk","1819-01-01","Działająca","1819-01-01","instytut naukowy PAN","1819-01-01","ul. Wilcza 64, 00-679 Warszawa, woj. mazowieckie, Polska","1819-01-01"
"743","84fb79da-3e44-465c-b823-231d4e52b764","Muzeum Narodowe w Krakowie","1879-10-07","","Instytucja naukowa","Nie","","","","","inna instytucja naukowa","000275961","6750004442","","","","","http://www.muzeum.krakow.pl","dyrekcja@muzeum.krakow.pl","122955620","","Polska","małopolskie","3 Maja","1","30-062","Kraków","","",,,,,"Muzeum Narodowe w Krakowie","1879-10-07",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2022-04-29","Działająca","1879-10-07","inna instytucja naukowa","1879-10-07","al. Aleja 3 Maja 1, 30-062 Kraków, woj. małopolskie, Polska","1879-10-07"
"744","2f9e2bb1-bcc3-4238-956e-aa4e4f1a0405","Muzeum Narodowe w Poznaniu","1950-06-18","","Instytucja naukowa","Nie","","","","","inna instytucja naukowa","000275978","7770006321","","","","","http://www.mnp.art.pl","mnp@mnp.art.pl","(61)85-68-000","","Polska","wielkopolskie","Aleje Karola Marcinkowskiego","9","61-745","Poznań","","",,,,,"Muzeum Narodowe w Poznaniu","1950-06-18",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2022-04-29","Działająca","1950-06-18","inna instytucja naukowa","1950-06-18","al. Aleje Karola Marcinkowskiego 9, 61-745 Poznań, woj. wielkopolskie, Polska","1950-06-18"
"745","a8cd037e-c268-4671-9890-b00628258e10","Muzeum Sztuki w Łodzi","1930-04-13","","Instytucja naukowa","Nie","","","","","inna instytucja naukowa","000277500","7241000146","","","","","http://msl.org.pl","muzeum@msl.org.pl","048426338273","","Polska","łódzkie","płk. dr. Stanisława Więckowskiego","36","90-734","Łódź","Andrzej Biernacki - Dyrektor generalny","",,,,,"Muzeum Sztuki w Łodzi","1930-04-13",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2022-04-29","Działająca","1930-04-13","inna instytucja naukowa","1930-04-13","ul. płk. dr. St. Więckowskiego 36, 90-734 Łódź, woj. łódzkie, Polska","1930-04-13"
"746","a1d1a77a-3ee7-4907-b99c-37101c6f4f03","Muzeum Sztuki Współczesnej w Krakowie MOCAK","2009-12-02","","Instytucja naukowa","Nie","","","","","inna instytucja naukowa","121135203","6751427073","","","","","www.mocak.pl","mocak@mocak.pl","12 2634000","","Polska","małopolskie","Lipowa","4","30-702","Kraków","Maria Anna Potocka - Dyrektor generalny","155173db-d2a5-47d6-9c52-0b0876aafcfa",,,,,"Muzeum Sztuki Współczesnej w Krakowie MOCAK","2009-12-02",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2022-04-29","Działająca","2009-12-02","inna instytucja naukowa","2009-12-02","ul. Lipowa 4, 30-702 Kraków, woj. małopolskie, Polska","2009-12-02"
"747","1ae24be8-cdc4-4a46-b7b3-eed283b003c9","Nadbużańska Szkoła Wyższa im. Marka J. Karpia w Siemiatyczach","2001-10-09","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","zawodowa","","052014958","5441397704","","081","222","","","nsw.rektorat@op.pl","85 655 59 19","","Polska","podlaskie","ul. Tadeusza Kościuszki","43","17-300","Siemiatycze","","",,,,,"Nadbużańska Szkoła Wyższa im. Marka J. Karpia w Siemiatyczach","2018-03-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2001-10-09","Działająca","2001-10-09","zawodowa","2001-10-09","ul. Tadeusza Kościuszki 43, 17-300 Siemiatycze, woj. podlaskie, Polska","2001-10-09"
"748","1ae24be8-cdc4-4a46-b7b3-eed283b003c9","Nadbużańska Szkoła Wyższa im. Marka J. Karpia w Siemiatyczach","2001-10-09","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","zawodowa","","052014958","5441397704","","081","222","","","nsw.rektorat@op.pl","85 655 59 19","","Polska","podlaskie","ul. Tadeusza Kościuszki","43","17-300","Siemiatycze","","",,,,,"Nadbużańska Szkoła Wyższa w Siemiatyczach z siedzibą w Siemiatyczach","2001-10-09",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2001-10-09","Działająca","2001-10-09","zawodowa","2001-10-09","ul. Tadeusza Kościuszki 43, 17-300 Siemiatycze, woj. podlaskie, Polska","2001-10-09"
"749","29b47066-4dca-4b1d-ba55-14e3ee02fb1a","Narodowe Centrum Badań Jądrowych","1955-06-04","Minister Środowiska i Klimatu (poprzednio MŚ)","Instytucja naukowa","Nie","","","","","instytut badawczy","001024043","5320100125","0000171393","","","","http://www.ncbj.gov.pl","ncbj@ncbj.gov.pl","22 273 1001","/NCBJ/SkrytkaESP","Polska","mazowieckie","Andrzeja Sołtana","7","05-400","Otwock","Krzysztof Kurek - Dyrektor instytutu","f25afbd8-de47-4df4-8385-a82e8624dc9e",,,,,"Narodowe Centrum Badań Jądrowych","1955-06-04","Instytut Energii Atomowej POLATOM w Świerku","354f425a-e8d9-4c1e-adcb-73369f27eb15","","","","","","Minister Gospodarki","Włączenie","2011-09-01",,,,,,,,,,,"Minister Gospodarki","1955-06-04","Działająca","1955-06-04","instytut badawczy","1955-06-04","ul. Andrzeja Sołtana 7, 05-400 Otwock, woj. mazowieckie, Polska","1955-06-04"
"750","29b47066-4dca-4b1d-ba55-14e3ee02fb1a","Narodowe Centrum Badań Jądrowych","1955-06-04","Minister Środowiska i Klimatu (poprzednio MŚ)","Instytucja naukowa","Nie","","","","","instytut badawczy","001024043","5320100125","0000171393","","","","http://www.ncbj.gov.pl","ncbj@ncbj.gov.pl","22 273 1001","/NCBJ/SkrytkaESP","Polska","mazowieckie","Andrzeja Sołtana","7","05-400","Otwock","Krzysztof Kurek - Dyrektor instytutu","f25afbd8-de47-4df4-8385-a82e8624dc9e",,,,,"Narodowe Centrum Badań Jądrowych","1955-06-04","Instytut Energii Atomowej POLATOM w Świerku","354f425a-e8d9-4c1e-adcb-73369f27eb15","","","","","","Minister Gospodarki","Włączenie","2011-09-01",,,,,,,,,,,"Minister Energii","2016-09-01","Działająca","1955-06-04","instytut badawczy","1955-06-04","ul. Andrzeja Sołtana 7, 05-400 Otwock, woj. mazowieckie, Polska","1955-06-04"
"751","29b47066-4dca-4b1d-ba55-14e3ee02fb1a","Narodowe Centrum Badań Jądrowych","1955-06-04","Minister Środowiska i Klimatu (poprzednio MŚ)","Instytucja naukowa","Nie","","","","","instytut badawczy","001024043","5320100125","0000171393","","","","http://www.ncbj.gov.pl","ncbj@ncbj.gov.pl","22 273 1001","/NCBJ/SkrytkaESP","Polska","mazowieckie","Andrzeja Sołtana","7","05-400","Otwock","Krzysztof Kurek - Dyrektor instytutu","f25afbd8-de47-4df4-8385-a82e8624dc9e",,,,,"Narodowe Centrum Badań Jądrowych","1955-06-04","Instytut Energii Atomowej POLATOM w Świerku","354f425a-e8d9-4c1e-adcb-73369f27eb15","","","","","","Minister Gospodarki","Włączenie","2011-09-01",,,,,,,,,,,"Minister Środowiska i Klimatu (poprzednio MŚ)","2021-04-12","Działająca","1955-06-04","instytut badawczy","1955-06-04","ul. Andrzeja Sołtana 7, 05-400 Otwock, woj. mazowieckie, Polska","1955-06-04"
"752","b7bb6dea-d926-4b36-9e6d-e0ad8061342e","Narodowy Instytut Geriatrii, Reumatologii i Rehabilitacji im. prof. dr hab. med. Eleonory Reicher","1951-03-10","Minister Zdrowia","Instytucja naukowa","Nie","","","","","instytut badawczy","000288567","5250011042","0000066382","","","","http://www.spartanska.pl","sekretariat.dyrektora@spartanska.pl","22 670-93-20","/instytutreumatologii/skrytka","Polska","mazowieckie","Spartańska","1","02-637","Warszawa","Marek Tombarkiewicz - Dyrektor instytutu","",,,,,"Narodowy Instytut Geriatrii, Reumatologii i Rehabilitacji im. prof. dr hab. med. Eleonory Reicher","2015-09-15",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1951-03-10","Działająca","1951-03-10","instytut badawczy","1951-03-10","ul. Spartańska 1, 02-637 Warszawa, woj. mazowieckie, Polska","1951-03-10"
"753","b7bb6dea-d926-4b36-9e6d-e0ad8061342e","Narodowy Instytut Geriatrii, Reumatologii i Rehabilitacji im. prof. dr hab. med. Eleonory Reicher","1951-03-10","Minister Zdrowia","Instytucja naukowa","Nie","","","","","instytut badawczy","000288567","5250011042","0000066382","","","","http://www.spartanska.pl","sekretariat.dyrektora@spartanska.pl","22 670-93-20","/instytutreumatologii/skrytka","Polska","mazowieckie","Spartańska","1","02-637","Warszawa","Marek Tombarkiewicz - Dyrektor instytutu","",,,,,"Narodowy Instytut Geriatrii, Reumatologii i Rehabilitacji im. prof. dr hab. med. Eleonory Reicher","2015-09-15",,,,,,,,,,,,,,,,,,,,,"Minister Zdrowia","2012-09-18","Działająca","1951-03-10","instytut badawczy","1951-03-10","ul. Spartańska 1, 02-637 Warszawa, woj. mazowieckie, Polska","1951-03-10"
"754","b7bb6dea-d926-4b36-9e6d-e0ad8061342e","Narodowy Instytut Geriatrii, Reumatologii i Rehabilitacji im. prof. dr hab. med. Eleonory Reicher","1951-03-10","Minister Zdrowia","Instytucja naukowa","Nie","","","","","instytut badawczy","000288567","5250011042","0000066382","","","","http://www.spartanska.pl","sekretariat.dyrektora@spartanska.pl","22 670-93-20","/instytutreumatologii/skrytka","Polska","mazowieckie","Spartańska","1","02-637","Warszawa","Marek Tombarkiewicz - Dyrektor instytutu","",,,,,"Instytut Reumatologii im. prof. dr hab. med. Eleonory Reicher","1951-03-10",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1951-03-10","Działająca","1951-03-10","instytut badawczy","1951-03-10","ul. Spartańska 1, 02-637 Warszawa, woj. mazowieckie, Polska","1951-03-10"
"755","b7bb6dea-d926-4b36-9e6d-e0ad8061342e","Narodowy Instytut Geriatrii, Reumatologii i Rehabilitacji im. prof. dr hab. med. Eleonory Reicher","1951-03-10","Minister Zdrowia","Instytucja naukowa","Nie","","","","","instytut badawczy","000288567","5250011042","0000066382","","","","http://www.spartanska.pl","sekretariat.dyrektora@spartanska.pl","22 670-93-20","/instytutreumatologii/skrytka","Polska","mazowieckie","Spartańska","1","02-637","Warszawa","Marek Tombarkiewicz - Dyrektor instytutu","",,,,,"Instytut Reumatologii im. prof. dr hab. med. Eleonory Reicher","1951-03-10",,,,,,,,,,,,,,,,,,,,,"Minister Zdrowia","2012-09-18","Działająca","1951-03-10","instytut badawczy","1951-03-10","ul. Spartańska 1, 02-637 Warszawa, woj. mazowieckie, Polska","1951-03-10"
"756","10bec212-96e2-4fda-a6e1-15cc727d814b","Narodowy Instytut Kardiologii Stefana Kardynała Wyszyńskiego – Państwowy Instytut Badawczy","1979-03-21","Minister Zdrowia","Instytucja naukowa","Tak","2019","","","","instytut badawczy","000837583","5250008525","","","","","http://www.ikard.pl","nauka@ikard.pl","22 34 34 150","/instytutkardiologii/SkrytkaESP","Polska","mazowieckie","Alpejska","42","04-628","Warszawa","Łukasz Szumowski - Dyrektor instytutu","40a51a6b-890b-44b4-8db8-0b5a2ee9a091",,,,,"Narodowy Instytut Kardiologii Stefana Kardynała Wyszyńskiego – Państwowy Instytut Badawczy","2019-10-17",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1979-03-21","Działająca","1979-03-21","instytut badawczy","1979-03-21","ul. Alpejska 42, 04-628 Warszawa, woj. mazowieckie, Polska","1979-03-21"
"757","10bec212-96e2-4fda-a6e1-15cc727d814b","Narodowy Instytut Kardiologii Stefana Kardynała Wyszyńskiego – Państwowy Instytut Badawczy","1979-03-21","Minister Zdrowia","Instytucja naukowa","Tak","2019","","","","instytut badawczy","000837583","5250008525","","","","","http://www.ikard.pl","nauka@ikard.pl","22 34 34 150","/instytutkardiologii/SkrytkaESP","Polska","mazowieckie","Alpejska","42","04-628","Warszawa","Łukasz Szumowski - Dyrektor instytutu","40a51a6b-890b-44b4-8db8-0b5a2ee9a091",,,,,"Narodowy Instytut Kardiologii Stefana Kardynała Wyszyńskiego – Państwowy Instytut Badawczy","2019-10-17",,,,,,,,,,,,,,,,,,,,,"Minister Zdrowia","2012-09-18","Działająca","1979-03-21","instytut badawczy","1979-03-21","ul. Alpejska 42, 04-628 Warszawa, woj. mazowieckie, Polska","1979-03-21"
"758","10bec212-96e2-4fda-a6e1-15cc727d814b","Narodowy Instytut Kardiologii Stefana Kardynała Wyszyńskiego – Państwowy Instytut Badawczy","1979-03-21","Minister Zdrowia","Instytucja naukowa","Tak","2019","","","","instytut badawczy","000837583","5250008525","","","","","http://www.ikard.pl","nauka@ikard.pl","22 34 34 150","/instytutkardiologii/SkrytkaESP","Polska","mazowieckie","Alpejska","42","04-628","Warszawa","Łukasz Szumowski - Dyrektor instytutu","40a51a6b-890b-44b4-8db8-0b5a2ee9a091",,,,,"Instytut Kardiologii im. Prymasa Tysiąclecia Stefana Kardynała Wyszyńskiego","1979-03-21",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1979-03-21","Działająca","1979-03-21","instytut badawczy","1979-03-21","ul. Alpejska 42, 04-628 Warszawa, woj. mazowieckie, Polska","1979-03-21"
"759","10bec212-96e2-4fda-a6e1-15cc727d814b","Narodowy Instytut Kardiologii Stefana Kardynała Wyszyńskiego – Państwowy Instytut Badawczy","1979-03-21","Minister Zdrowia","Instytucja naukowa","Tak","2019","","","","instytut badawczy","000837583","5250008525","","","","","http://www.ikard.pl","nauka@ikard.pl","22 34 34 150","/instytutkardiologii/SkrytkaESP","Polska","mazowieckie","Alpejska","42","04-628","Warszawa","Łukasz Szumowski - Dyrektor instytutu","40a51a6b-890b-44b4-8db8-0b5a2ee9a091",,,,,"Instytut Kardiologii im. Prymasa Tysiąclecia Stefana Kardynała Wyszyńskiego","1979-03-21",,,,,,,,,,,,,,,,,,,,,"Minister Zdrowia","2012-09-18","Działająca","1979-03-21","instytut badawczy","1979-03-21","ul. Alpejska 42, 04-628 Warszawa, woj. mazowieckie, Polska","1979-03-21"
"760","8b0d7c21-1910-4cfc-be64-151bb01ed2be","Narodowy Instytut Leków","1952-05-14","Minister Zdrowia","Instytucja naukowa","Nie","","","","","instytut badawczy","015244176","5213212384","","","","","http://www.nil.gov.pl/","sekretariat@nil.gov.pl","228514369","/Instytut_Lekow/SkrytkaESP","Polska","mazowieckie","Chełmska","30/34","00-725","Warszawa","Iza Anna Książek - Dyrektor instytutu","",,,,,"Narodowy Instytut Leków","1952-05-14","Instytut Leków w Warszawie","089b2e0c-a210-4c2c-a228-5184f7b2a5a0","","","","","","Minister Zdrowia","Włączenie","2006-12-08",,,,,,,,,,,"Minister Zdrowia","1952-05-14","Działająca","1952-05-14","instytut badawczy","1952-05-14","ul. Chełmska 30/34, 00-725 Warszawa, woj. mazowieckie, Polska","1952-05-14"
"761","5735d6d4-b607-4036-b8c7-b39e271c8b90","Narodowy Instytut Muzyki i Tańca","2013-07-24","","Instytucja naukowa","Nie","","","","","inna instytucja naukowa","","","","","","","http://www.imit.org.pl","andrzej.kosowski@imit.org.pl","","","Polska","mazowieckie","Aleksandra Fredry","8","00-097","Warszawa","","",,,,,"Narodowy Instytut Muzyki i Tańca","2021-05-11",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2022-04-29","Działająca","2013-07-24","inna instytucja naukowa","2013-07-24","ul. Aleksandra Fredry 8, 00-097 Warszawa, woj. mazowieckie, Polska","2013-07-24"
"762","5735d6d4-b607-4036-b8c7-b39e271c8b90","Narodowy Instytut Muzyki i Tańca","2013-07-24","","Instytucja naukowa","Nie","","","","","inna instytucja naukowa","","","","","","","http://www.imit.org.pl","andrzej.kosowski@imit.org.pl","","","Polska","mazowieckie","Aleksandra Fredry","8","00-097","Warszawa","","",,,,,"Instytut Muzyki i Tańca","2013-07-24",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2022-04-29","Działająca","2013-07-24","inna instytucja naukowa","2013-07-24","ul. Aleksandra Fredry 8, 00-097 Warszawa, woj. mazowieckie, Polska","2013-07-24"
"763","bdcdbaed-bbf2-43bd-b224-c5d80dd351fb","Narodowy Instytut Onkologii im. Marii Skłodowskiej-Curie – Państwowy Instytut Badawczy","1932-05-29","Minister Zdrowia","Instytucja naukowa","Tak","2020","","","","instytut badawczy","000288366","5250008057","0000144803","","","","http://www.nio.gov.pl","dzialnauki@nio.gov.pl","(22) 546-20-00","/COI_KRN/SkrytkaESP","Polska","mazowieckie","ul. Wilhelma Konrada Roentgena","5","02-781","Warszawa","Jan Andrzej Walewski - Dyrektor instytutu","203b3054-7604-4ced-85f0-a31909d1519a",,,,,"Narodowy Instytut Onkologii im. Marii Skłodowskiej-Curie – Państwowy Instytut Badawczy","2019-10-17",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1932-05-29","Działająca","1932-05-29","instytut badawczy","1932-05-29","ul. Wilhelma Konrada Roentgena 5, 02-781 Warszawa, woj. mazowieckie, Polska","1932-05-29"
"764","bdcdbaed-bbf2-43bd-b224-c5d80dd351fb","Narodowy Instytut Onkologii im. Marii Skłodowskiej-Curie – Państwowy Instytut Badawczy","1932-05-29","Minister Zdrowia","Instytucja naukowa","Tak","2020","","","","instytut badawczy","000288366","5250008057","0000144803","","","","http://www.nio.gov.pl","dzialnauki@nio.gov.pl","(22) 546-20-00","/COI_KRN/SkrytkaESP","Polska","mazowieckie","ul. Wilhelma Konrada Roentgena","5","02-781","Warszawa","Jan Andrzej Walewski - Dyrektor instytutu","203b3054-7604-4ced-85f0-a31909d1519a",,,,,"Narodowy Instytut Onkologii im. Marii Skłodowskiej-Curie – Państwowy Instytut Badawczy","2019-10-17",,,,,,,,,,,,,,,,,,,,,"Minister Zdrowia","2012-09-18","Działająca","1932-05-29","instytut badawczy","1932-05-29","ul. Wilhelma Konrada Roentgena 5, 02-781 Warszawa, woj. mazowieckie, Polska","1932-05-29"
"765","bdcdbaed-bbf2-43bd-b224-c5d80dd351fb","Narodowy Instytut Onkologii im. Marii Skłodowskiej-Curie – Państwowy Instytut Badawczy","1932-05-29","Minister Zdrowia","Instytucja naukowa","Tak","2020","","","","instytut badawczy","000288366","5250008057","0000144803","","","","http://www.nio.gov.pl","dzialnauki@nio.gov.pl","(22) 546-20-00","/COI_KRN/SkrytkaESP","Polska","mazowieckie","ul. Wilhelma Konrada Roentgena","5","02-781","Warszawa","Jan Andrzej Walewski - Dyrektor instytutu","203b3054-7604-4ced-85f0-a31909d1519a",,,,,"Centrum Onkologii - Instytut im. Marii Skłodowskiej-Curie","1932-05-29",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1932-05-29","Działająca","1932-05-29","instytut badawczy","1932-05-29","ul. Wilhelma Konrada Roentgena 5, 02-781 Warszawa, woj. mazowieckie, Polska","1932-05-29"
"766","bdcdbaed-bbf2-43bd-b224-c5d80dd351fb","Narodowy Instytut Onkologii im. Marii Skłodowskiej-Curie – Państwowy Instytut Badawczy","1932-05-29","Minister Zdrowia","Instytucja naukowa","Tak","2020","","","","instytut badawczy","000288366","5250008057","0000144803","","","","http://www.nio.gov.pl","dzialnauki@nio.gov.pl","(22) 546-20-00","/COI_KRN/SkrytkaESP","Polska","mazowieckie","ul. Wilhelma Konrada Roentgena","5","02-781","Warszawa","Jan Andrzej Walewski - Dyrektor instytutu","203b3054-7604-4ced-85f0-a31909d1519a",,,,,"Centrum Onkologii - Instytut im. Marii Skłodowskiej-Curie","1932-05-29",,,,,,,,,,,,,,,,,,,,,"Minister Zdrowia","2012-09-18","Działająca","1932-05-29","instytut badawczy","1932-05-29","ul. Wilhelma Konrada Roentgena 5, 02-781 Warszawa, woj. mazowieckie, Polska","1932-05-29"
"767","617decfb-3a18-4108-bfde-bfe68fa3c662","Narodowy Instytut Zdrowia Publicznego PZH – Państwowy Instytut Badawczy","1918-11-11","Minister Zdrowia","Instytucja naukowa","Tak","2021","","","","instytut badawczy","000288461","5250008732","0000069210","","","","http://www.pzh.gov.pl","dyrektor@pzh.gov.pl","22 54 21 202","/NIZP_PZH/SkrytkaESP","Polska","mazowieckie","Chocimska","24","00-791","Warszawa","Bernard Waśko - Dyrektor instytutu","",,,,,"Narodowy Instytut Zdrowia Publicznego PZH – Państwowy Instytut Badawczy","2021-07-10","Instytut Żywności i Żywienia im. prof. dra med. Aleksandra Szczygła","89681dfa-9e7c-4d10-aadf-06c30eb939d8","000288478","5250008910","","","","Minister Zdrowia","Włączenie","2020-02-01",,,,,,,,,,,"Minister Zdrowia","1918-11-11","Działająca","1918-11-11","instytut badawczy","1918-11-11","ul. Chocimska 24, 00-791 Warszawa, woj. mazowieckie, Polska","1918-11-11"
"768","617decfb-3a18-4108-bfde-bfe68fa3c662","Narodowy Instytut Zdrowia Publicznego PZH – Państwowy Instytut Badawczy","1918-11-11","Minister Zdrowia","Instytucja naukowa","Tak","2021","","","","instytut badawczy","000288461","5250008732","0000069210","","","","http://www.pzh.gov.pl","dyrektor@pzh.gov.pl","22 54 21 202","/NIZP_PZH/SkrytkaESP","Polska","mazowieckie","Chocimska","24","00-791","Warszawa","Bernard Waśko - Dyrektor instytutu","",,,,,"Narodowy Instytut Zdrowia Publicznego - Państwowy Zakład Higieny","1918-11-11","Instytut Żywności i Żywienia im. prof. dra med. Aleksandra Szczygła","89681dfa-9e7c-4d10-aadf-06c30eb939d8","000288478","5250008910","","","","Minister Zdrowia","Włączenie","2020-02-01",,,,,,,,,,,"Minister Zdrowia","1918-11-11","Działająca","1918-11-11","instytut badawczy","1918-11-11","ul. Chocimska 24, 00-791 Warszawa, woj. mazowieckie, Polska","1918-11-11"
"769","e9fbe95c-25f7-4c52-b4c7-1d0f0fb0ef52","Naukowa i Akademicka Sieć Komputerowa - Państwowy Instytut Badawczy","1993-12-14","Minister Cyfryzacji","Instytucja naukowa","Tak","2017","","","","instytut badawczy","010464542","5210417157","0000012938","","","","http://www.nask.pl","nask@nask.pl","22 380 82 00","/NASK-Instytut/SkrytkaESP","Polska","mazowieckie","Kolska","12","01-045","Warszawa","Wojciech Pawlak - Dyrektor instytutu","",,,,,"Naukowa i Akademicka Sieć Komputerowa","1993-12-14","Instytut Maszyn Matematycznych","57f4b544-5c0b-4509-b22c-e05271aab47a","000035197","5250008962","","","","Minister Cyfryzacji","Włączenie","2018-02-01",,,,,,,,,,,"Minister Cyfryzacji","1993-12-14","Działająca","1993-12-14","instytut badawczy","1993-12-14","ul. Kolska 12, 01-045 Warszawa, woj. mazowieckie, Polska","1993-12-14"
"770","e9fbe95c-25f7-4c52-b4c7-1d0f0fb0ef52","Naukowa i Akademicka Sieć Komputerowa - Państwowy Instytut Badawczy","1993-12-14","Minister Cyfryzacji","Instytucja naukowa","Tak","2017","","","","instytut badawczy","010464542","5210417157","0000012938","","","","http://www.nask.pl","nask@nask.pl","22 380 82 00","/NASK-Instytut/SkrytkaESP","Polska","mazowieckie","Kolska","12","01-045","Warszawa","Wojciech Pawlak - Dyrektor instytutu","",,,,,"Naukowa i Akademicka Sieć Komputerowa","1993-12-14","Instytut Maszyn Matematycznych","57f4b544-5c0b-4509-b22c-e05271aab47a","000035197","5250008962","","","","Minister Cyfryzacji","Włączenie","2018-02-01",,,,,,,,,,,"Minister Cyfryzacji","2015-11-16","Działająca","1993-12-14","instytut badawczy","1993-12-14","ul. Kolska 12, 01-045 Warszawa, woj. mazowieckie, Polska","1993-12-14"
